dishearten       discourage
disheveled       untidy 
disinclination   unwillingness
disingenuous     not naive; not candid; sophisticated; worldly wise
disinter         dig up; unearth
disinterested    unprejudiced; free from bias and self-interest; objective
disjointed       disconnected; lacking coherence
disjunction      act or state of separation; disunity
dislodge         remove (forcibly); force out of a position
dismantle        take apart; disassemble
dismember        cut into small parts; cut (a body) apart limb from limb
disparage        belittle
disparate        basically different; impossible to compare; unrelated
disparity        difference; condition of inequality
dispassionate    calm; impartial; not influenced by personal feelings
dispatch         speediness; prompt execution; message sent with all due speed
dispel           scatter; drive away; cause to vanish
disperse         scatter
dispirited       lacking in spirit
disport          amuse
disputatious	 argumentative; fond of arguing
disquietude      uneasiness; anxiety
disquisition     formal systematic inquiry; explanation of the results of a formal inquiry
dissection       analysis; cutting apart in order to examine
dissemble        disguise; hide the real nature of; pretend
disseminate      distribute; spread; scatter (like seeds)
dissent          disagree
dissertation     formal essay; treatise
dissident        dissenting (with an opinion, a group, or a government); rebellious
dissimulate      pretend; conceal by feigning; dissemble
dissipate        squander; waste foolishly; scatter
dissolution      disintegration; reduction to a liquid form; looseness in morals; sensual indulgence; debauchery
dissonance       discord
dissuade         persuade not to do; discourage
distant          reserved or aloof; cold in manner
distend          expand; swell out
distill          refine (a liquid by evaporating and subsequent condensation); concentrate
distinction      honor; excellence; difference; contrast; discrimination
distinctive      clearly different from others of the same kind
distort          twist out of shape; give a false account of; misrepresent
distrait         absentminded; distracted
distraught       upset; distracted by anxiety; very anxious and troubled almost to the point of madness
diurnal          daily; occurring during the daytime
diva             operatic singer; prima donna
diverge          vary; go in different directions from the same point
diverse          differing in some characteristics (from each other); various
diversion        act of turning aside; pastime
diversity	 variety; dissimilitude
divest           strip (as of clothes); deprive (as of rights); dispossess
divine           perceive intuitively; foresee the future; foretell; dowse
divulge          reveal
docile           obedient; easily managed; submissive
docket           program as for trial; book where such entries are made; list of things to be done; agenda
doctrinaire      unable to compromise about points of doctrine; dogmatic; unyielding
doctrine         teachings in general; particular principle (religious, legal, etc.) taught; dogma
document         provide written evidence (for a claim); record with documents
dogged           determined; stubborn; stubbornly persevering; tenaciou
doggerel         poor verse
dogmatic         opinionated; holding stubbornly to one's opinion; arbitrary; doctrinal
doldrums         blues; listlessness(lack of spirit or energy); slack(inactive) period
doleful	 	 mourning; causing sadness
dolorous         sorrowful
dolt             slow-thinking stupid person
domicile         home
domineer         rule over tyrannically
don              put on
dormant          sleeping; temporarily inactive; lethargic; latent
dormer           window projecting upright from roof
dorsal           relating to the back of an animal
dossier          file of documents on a subject or person; file
dotage           senility; feeblemindedness of old age
dote             be excessively fond of; show signs of mental decline
dour             sullen; gloomy; stubborn
douse            plunge into water or liquid; dip; immerse; drench; wet throughly
dowdy            untidy; slovenly; dressed in an unattractive way; shabby
downcast         disheartened; dejected; sad; directed downward
drab             dull; lacking color; cheerless 
draconian        extremely severe
dregs            sediment in a liquid; lees; worthless residue
drivel           nonsense; foolishness
droll            queer and amusing
drone            talk dully; buzz or murmur like a bee
dross            waste matter; worthless impurities
drudgery         hard unpleasant work; menial work
dubious          questionable; (of something) causing doubt; (of someone) filled with doubt
ductile          malleable; pliable; (of metals) easily pulled into shape; flexible
dulcet           sweet sounding; pleasing to the ear; melodious
dumbfound        astonish (making dumb); ADJ. dumbfounded, dumfounded, dumbstruck
dupe             someone easily fooled or deceived
duplicity        double-dealing; hypocrisy; being dishonest and deceitful
