encumber 	 burden
endearment       fond word or act; expression of affection
endemic          prevailing among a specific group of people or in a specific area or country
endorse          approve; support; write one's signature on the back of
endue            provide with some quality; endow
enduring         lasting; surviving
energize         invigorate; give energy to; make forceful and active
enervate         weaken; take away energy from
enfranchise      admit to the rights of citizenship (especially the right to vote)
engage           attract; employ; hire; pledge oneself; confront; fight
engaging         charming; attractive
engender         cause; produce; give rise to
engross          occupy fully; absorb
enhance          increase; make greater (as in value, reputation, or usefulness); improve
enigma           puzzle; mystery
enjoin           command; order; forbid
enmity           ill will; hatred; hostility
ennui            boredom; listlessness and dissatisfaction resulting from lack of interest
enormity         hugeness (in a bad sense); excessive wickedness
enrapture        please intensely; fill with rapture and delight
ensconce         settle comfortably; place comfortably (in a secure place)
ensue            follow (as a result)
entail           make necessary; require; necessitate; involve
enterprising     full of initiative; showing enterprise
enthrall         capture; enslave; captivate; hold the complete attention of (as if magic); hold spellbound
entice           lure; persuade to do (something wrong); attract; tempt
entity           real being
entomology       study of insects
entrance         put under a spell(condition caused by magical power); carry away(fill with strong feeling) with emotion
entreat          plead; ask earnestly
entree		 entrance; a way in; right to enter; main dish of a meal
entrepreneur     businessperson (who assumes the risk of a business venture); contractor
enumerate        list; mention one by one
enunciate        announce; proclaim; utter or speak, especially distinctly; pronounce clearly; articulate
environ          enclose; surround
eon	         long period of time; an age; longest division of geologic time containing two or more eras
epaulet		 ornament worn on the shoulder
ephemeral        short-lived; fleeting
epic             long heroic poem, novel, or similar work of art (celebrating the feats of a hero)
epicure          connoisseur of food and drink; gourmet
epigram          witty thought or saying, usually short
epilogue         short speech at conclusion of dramatic work
episodic         loosely connected; made up of separate and loosely connected parts
epistemologist   philosopher who studies the nature of knowledge
epitaph          inscription in memory of a dead person (as on a tombstone)
epithet          word or phrase characteristically used to describe a person or thing
epitome          perfect example or embodiment; brief summary
epoch            period of time
equable          tranquil; of even calm temper
equanimity       calmness of temperament; composure
equestrian       rider on horseback
equilibrium      balance of opposing forces; balance of the mind; equanimity
equine           resembling a horse
equinox          period of equal days and nights; the beginning of spring and autumn
equipoise        balance; balancing force; equilibrium
equitable        fair; impartial
equity           fairness; justice
equivocal        (of words or statements) ambiguous; intentionally misleading; (of behavior) questionable
equivocate       use equivocal language to deceive people; lie; mislead; attempt to conceal the truth
erode            eat away; wear away gradually by abrasion
erotic           pertaining to passionate love or sexual love
errant           wandering (esp. in search of adventure); straying from proper moral standards
erratic          odd; irregular in movement or behavior; unpredictable
erroneous        mistaken; wrong; incorrect
erudite          (of a person or book) learned; full of learning; scholarly
escapade         prank; flighty conduct; reckless adventure that disobeys rules
eschew           avoid habitually
esoteric         hard to understand; known only to the chosen few, esp. initiates
espionage        spying
espouse          adopt; support (an idea or aim); marry
esteem           respect; value; judge
estimable        (of a person) worthy of esteem; admirable; deserving esteem; possible to estimate
estranged        separated; alienated; V. estrange: alienate (people in a family)
ethereal         like a spirit or fairy; unearthly light; heavenly; unusually refined
ethnic           relating to races
ethnology        study of humankind; study of the different races of human beings
ethos            underlying character of a culture, group, etc.
etymology        study of word parts; study of the origins of words
eugenic          pertaining to the improvement of race
eulogistic       praising; full of eulogy
