flippant         lacking proper seriousness
flit             fly; fly or move lightly or quickly
floe		 mass of floating ice
flora            plants of a region or era
florid           ruddy;reddish; flowery; very ornate
flotsam          drifting wreckage
flounder         struggle and thrash about; proceed clumsily or falter 
flourish         grow well; prosper
flout            reject; mock; show contempt for; scorn
fluctuate        waver; rise and fall as if in waves; change or vary irregularly
fluency          smoothness of speech
fluke            unlikely occurrence; accidental stroke of good luck 
fluster          confuse; make nervous and confused
fluted           having vertical parallel grooves (as in a pillar)
flux             flowing; series of changes; fluctuation
fodder           coarse food for cattle, horses, etc.
foible           small weakness of character; slight fault
foil		 contrast
foil             defeat; frustrate; prevent from being successful; thwart
foist            insert improperly; impose upon another by coercion
foliage          masses of leaves
foment           stir up; incite; instigate
foolhardy        rash; reckless; foolishly daring
fop		 dandy; ma excessively preoccupied with his cloths
foray            raid
forbearance      patience; forgiveness
ford             place where a river can be crossed on foot
forebears	 ancestors
foreboding       premonition of evil; feeling of coming evil
forensic         suitable to debate or courts of law
foreshadow       give an indication beforehand; be a sign of (what is coming);portend;
foresight        ability to foresee future happenings
forestall        prevent by taking action in advance
forgo		 give up; do without
forlorn          sad and lonely; wretched; desolate
formality        ceremonious quality; ceremonious adherence to rules
formidable       menacing; arousing fear; threatening; difficult to defeat
forsake          desert; abandon; renounce
forswear         renounce under oath; abandon; make a solemn promise to give up
forte            strong point or special talent in a person's character
forthright       straightforward; direct; frank
fortitude        bravery; courage; strength of mind
fortuitous       accidental; by chance
foster           rear; bring up (for a certain period only); encourage
founder          person who establishes (an organization or business)
founder		 fail completely; fail
fracas           brawl;melee
fractious        unruly; peevish; cranky; bad-tempered
frail            weak
franchise        right or privilege granted by authority; right to vote
frantic          wild; distraught as from fear or worry
fraudulent       cheating; deceitful
fraught          filled (with something unpleasant); full
fray             brawl; fight
frenetic         frenzied; frantic
frenzied         madly excited
fresco           painting on wet plaster (usually fresh)
fret             be annoyed or vexed
friction         clash or conflict in opinion; rubbing against
frieze           ornamental horizontal band on a wall
frigid           intensely cold; cold in manner
fritter          waste (time or money on unimportant things)
frivolous        lacking in seriousness; flippant trivial
frolicsome       prankish; gay; playful; merry; frisky
frond            fern leaf; palm or banana leaf
froward          stubbornly contrary; obstinately disobedient
fructify         bear fruit; produce fruit
frugality        thrift; economy
fruition         bearing of fruit; fulfillment; realization
frustrate        thwart; defeat; prevent from accomplishing a purpose
fugitive         fleeting or transitory; lasting only a short time
fulcrum          support on which a lever rests or pivots
fulminate        thunder; explode; issue a severe denunciation
fulsome          disgustingly excessive; offensively flattering 
functionary      official(who performs a particular function)
fundamental      basic; primary; essential
funereal         sad; solemn; suitable for a funeral
furor            frenzy; great anger and excitement
furtive          stealthy; quiet and secret (trying to escape notice); sneaky
fusillade        simultaneous firing or outburst (of missiles, questions, etc.)
fusion           union; coalition
futile           useless; hopeless; ineffectual
gadfly           animal-biting fly; irritating person
gaffe            social blunder
