sadistic         inclined to cruelty
saga             Scandinavian myth; any legend; long heroic narrative
sagacious        wise; perceptive; shrewd; having insight
sage             person celebrated for wisdom; wise person
salacious        lascivious; lustful
salient          prominent; projecting beyond a line; conspicuous
saline           salty
sallow           (of the skin) yellowish and unhealthy-looking; sickly in color
salubrious       healthful; conducive to health or well-being; socially desirable
salutary         tending to improve; beneficial; wholesome
salvage          rescue (goods or property) from loss
sanctimonious    displaying ostentatious or hypocritical devoutness
sanction         approve; ratify
sanctuary        place of refuge; shelter; shrine; holy place
sanguinary       bloody; with much bloodshed
sanguine         optimistic; cheerful; hopeful; of the color of blood; red
sap              diminish; weaken; undermine the foundations of (a fortification)
sarcasm          cutting ironic remark; scornful remarks; stinging rebuke
sardonic         scornfully mocking; disdainful; sarcastic; cynical
sartorial        pertaining to tailors or tailoring
sate             satisfy to the full; satisfy to excess; cloy
satellite        small body revolving around a larger one
satiate          satisfy fully (physical needs such as hunger); sate
satire           form of literature in which irony, sarcasm
satirical        using satire; mocking
saturate         soak thoroughly; imbue; impregnate; charge; fill to capacity
saturnine        morose; gloomy
satyr            half-human, half-bestial being in the court of Dionysus (resembling a goat)
saunter          stroll(go for a leisurely walk) slowly
savant           scholar; learned person
savor            enjoy; have a distinctive flavor, smell, or quality
savory           pleasant in taste; tasty; pleasing, attractive, or agreeable
scabbard         case for a sword blade; sheath
scad             a great quantity
scaffold         temporary platform for workers (to work at heights above the ground)
scale            climb up; ascend; remove or come off in scales
scanty           meager; insufficient
scapegoat        someone who bears the blame for others; whipping boy
scavenge         hunt through discarded materials for usable items or food
scenario         plot outline; screenplay(script for a movie); opera libretto
schematic        of a schema or scheme; relating to an outline or diagram
schism           division into factions; split
scholarly        full of learning; erudite; like a scholar
scintilla        trace; minute amount; shred; least bit
scintillate      sparkle; flash; be animated; be full of life
scion            detached plant shoot used in grafting; descendant
scoff            laugh; mock; ridicule
scotch           stamp out(put an end to); thwart; hinder
scourge          lash; whip; source of severe punishment
scrupulous       conscientious; extremely thorough
scrutinize       examine closely and critically
scuffle          struggle confusedly; move off in a confused hurry
scurrilous       abusive; obscene; indecent
scurry           move hastily; hurry; move briskly
scurvy           contemptible; despicable
scuttle          sink (a ship) by cutting holes in the hull; scrap; discard
seamy            sordid; base; filthy; unwholesome
sear             burn the surface of; char or burn; brand; parch
season           enhance the flavor of by adding a spice, etc.; inure; harden
seasonable       occurring at the proper time or season; opportune
seasonal         of a particular season
seasoned         experienced
secession        withdrawal
seclusion        isolation; solitude
secrete          conceal; hide away or cache; produce and release a substance into an organism
sect             separate religious body; faction
secular          worldly; not pertaining to church matters or religion; temporal
sedate           composed grave
sedentary        requiring sitting; done while sitting; not moving from one place to another
sedition         conduct or language inciting rebellion; rebellion; resistance to authority
sedulous         diligent; assiduous; paying attention
seedy            run-down; decrepit; disreputable; having many seeds
seemly           proper; appropriate
seep             pass slowly through small openings; ooze; trickle
seethe           be violently disturbed; boil
seine            seine net; net for catching fish
seismic          pertaining to earthquakes
semblance        outward appearance; guise
seminal          related to seed or semen; germinal; creative
seminary         school for training future ministers; secondary school, especially for young women
senility         old age; feeblemindedness of old age
sensitization    process of being made sensitive or acutely responsive to an external agent or substance
sensual          devoted to the pleasures of the sense; carnal; voluptuous
sensuous         giving pleasure to the senses; pertaining to the physical senses
sententious      pithy; terse; concise; aphoristic
sentient         capable of sensation and conscious; aware; sensitive
sentinel         sentry; lookout
septic           of or causing sepsis; putrid; producing putrefaction
sepulcher        tomb
