champion         support militantly; fight for
championship     position of champion; defense or support; competition held to determine a champion
chaotic          in utter disorder
charisma         divine gift; great popular charm or appeal; magnetism
charlatan        quack; pretender to knowledge 
chary            cautious; unwilling to take risks; sparing or restrained about giving
chase            ornament a metal surface by indenting; follow rapidly to catch
chasm            abyss; very deep crack
chassis          framework and working parts of an automobile; framework to which components are attached
chaste           morally pure; virginal; abstaining from illicit sexual acts
chasten          discipline; punish in order to correct
chastise         punish as by beating; criticize severely
chauvinist       blindly devoted patriot; zealous adherent of a group, cause, or sex
check            stop motion; curb or restrain
checkered	 marked by great changes in fortune; with many changes of fortuene
cherubic         angelic; innocent-looking
chicanery        trickery; deception
chide            scold; rebuke (someone who has done wrong)
chimerical       fantastically improbable; highly unrealistic
chisel           swindle or cheat
chivalrous       courteous; faithful; brave
choleric         hot-tempered; bad-tempered; irritable; easily angered
choreography     art of representing dances in written symbols; arrangement of dances
chortle          chuckle with delight
chorus           phrase repeated throughout a song or poem
chronic          long established as a disease
chronicle        report; record (in chronological order)
chuckle          laugh quietly
churlish         boorish; rude
ciliated         having minute hairs
cipher           nonentity; worthless person or thing; zero; secret code
circlet          small ring; band of gold, silver, jewel, etc. 
circuit          closed circular line around an area
circuitous       roundabout
circumlocution   indirect or roundabout expression 
circumscribe     limit; confine; draw a line around
circumspect      prudent; cautious; acting after careful thought
circumvent       outwit; defeat by behaving more cleverly; outsmart; baffle; avoid; get around
cistern          reservoir or water tank
citadel          fortress
cite             quote; commend
civil            having to do with citizens; not military or religious; courteous and polite
clairvoyant      having foresight; fortuneteller
clamber          climb by crawling with difficulties; scramble
clamor           loud continous noise; continuous demand or complaint made by a large number of people
clandestine      secret
clangor          loud resounding noise; sound of repeated clanging
clap             strike the palms of the hands together with a sudden explosive sound
clapper          striker (tongue) of a bell
clarion          shrill, trumpetlike sound; kind of trumpet used in former times
clasp            hold firmly within arms
claustrophobia   fear of being locked in
clavicle         collarbone
cleave           split or sever; cling to; remain faithful to
cleft            split
clemency         disposition to be lenient in deciding punishments; mildness as of the weather
cliche           phrase dulled in meaning by repetition; platitude
clientele        body of customers
climactic        relating to the highest point
clime            climate
clipper          sailing vessel built for great speed
clique           small exclusive group of people
cloister         monastery or convent
clot             half-solid lump formed from a liquid (or blood)
clout            great influence (especially political or social); hard blow with fist
clown            act stupidly; play the fool
cloying          distasteful (because excessive); excessively sweet or sentimental
coagulate        congeal; thicken; clot
coalesce         combine; fuse
coalition        partnership; league; union of separate political parties
coax             persuade by flattery
coda             concluding section of a musical or literary composition
coddle           treat gently; indulge excessively; pamper; mollycoddle; baby
codicil          supplement to the body of a will; later addition to a will
codify           arrange (laws or rules) as a code; classify
coercion         use of force to get someone to object; compelling
coeval           living at the same time as; existing during the same period of time; contemporary; of the same age
cog              tooth projecting from a wheel
cogent           convincing
cogitate         think over; ponder
cognate          having a common origin; related linguistically; allied by blood; similar or akin in nature
cognitive        having to do with knowing or perceiving related to the mental processes
cognizance       knowledge
cohabit          live together
cohere           stick together
cohesion         tendency to keep together
cohorts          group of people who share some common quality
coiffure         hairstyle
coin             make coins; invent or fabricate (a word or phrase)
coincidence      the chance occurrence, at the same time, of two or more seemingly connected events
colander         utensil with perforated bottom used for straining
